unmapped_SMILES,mapped_SMILES
c-C=C-C>>[H]-C(-c)-C(-[H])-C,[C:2]-[C:5]=[C:9]-[c:12]>>[C:2]-[C:5](-[#1:2005])-[C:9](-[#1:2009])-[c:12]
[H]-C(-[H])(-[H])-O-C(-C)=O>>[H]-O-C(-C)=O,[#1:1016]-[C:16](-[#1:2016])(-[#1:3016])-[O:17]-[C:14](-[C:13])=[O:15]>>[#1:1018]-[O:18]-[C:14](-[C:13])=[O:15]
[H]-c(:c):c>>c:c(:c)-I,[c:4]:[c:8](:[c:9])-[#1:1008]>>[c:4]:[c:8](:[c:9])-[I:33]
[H]-C(-[H])(-C)-C.c-C=O>>c-C=C(-C)-C,[C:13]-[C:14](-[#1:1014])(-[#1:2014])-[C:12].[c:1]-[C:4]=[O:17]>>[c:1]-[C:4]=[C:14](-[C:12])-[C:13]
C-S-C>>C-S(-C)=O,[C:29]-[S:30]-[C:31]>>[C:29]-[S:30](=[O:32])-[C:31]
C-[Si](-C)(-C)-Cl.[H]-O-C>>C-O-[Si](-C)(-C)-C,[C:24]-[#14:23](-[Cl:30])(-[C:25])-[C:26].[C:4]-[O:10]-[#1:1010]>>[C:4]-[O:10]-[#14:23](-[C:24])(-[C:25])-[C:26]
[H]-C(-[H])(-[H])-C(-O-C(=O)-O-C(=O)-O)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H].[H]-N-c>>c-N-C(=O)-O,[#1:1028]-[C:28](-[#1:2028])(-[#1:3028])-[C:29](-[O:30]-[C:31](=[O:32])-[O:33]-[C:21](-[O:22])=[O:23])(-[C:34](-[#1:1034])(-[#1:2034])-[#1:3034])-[C:35](-[#1:1035])(-[#1:2035])-[#1:3035].[c:11]-[N:15]-[#1:2015]>>[c:11]-[N:15]-[C:21](-[O:22])=[O:23]
C-C(=O)-O>>[H]-C(-[H])(-C)-O,[C:18]-[C:22](=[O:28])-[O:25]>>[C:18]-[C:22](-[#1:1022])(-[#1:2022])-[O:25]
C-C-Br>>C-C-N=N=N,[C:15]-[C:17]-[Br:20]>>[C:15]-[C:17]-[N:21]=[N&+:22]=[N&-:23]
[H]-c(:c):n.[H]-c(:c):n.c-C=O>>c:c(:n)-C(-c)-c(:c):n,[c:8]-[C:11]=[O:22].[n:16]:[c:19](:[c:20])-[#1:1019].[n:2]:[c:5](:[c:6])-[#1:1005]>>[n:2]:[c:5](:[c:6])-[C:11](-[c:8])-[c:19](:[n:16]):[c:20]
[H]-O-C(=O)-C(-[H])-C.c-C=O>>C-C=C-c,[#1:1017]-[O:17]-[C:18](=[O:19])-[C:12](-[#1:2012])-[C:13].[c:10]-[C:11]=[O:16]>>[c:10]-[C:11]=[C:12]-[C:13]
[H]-N-c.c-S(=O)(=O)-Cl>>c-N-S(-c)(=O)=O,[c:20]-[N:22]-[#1:2022].[c:2]-[S:1](-[Cl:23])(=[O:3])=[O:4]>>[c:2]-[S:1](=[O:3])(=[O:4])-[N:22]-[c:20]
C-C(-C)=O>>[H]-O-C(-[H])(-C)-C,[C:2]-[C:5](-[C:7])=[O:8]>>[C:2]-[C:5](-[#1:1005])(-[C:7])-[O:8]-[#1:1008]
C-C(=O)-Cl.[H]-N-C>>C-N-C(-C)=O,[C:5]-[C:8](-[Cl:31])=[O:10].[C:14]-[N:18]-[#1:2018]>>[C:5]-[C:8](=[O:10])-[N:18]-[C:14]
[H]-N-c.c-C(=O)-Cl>>c-N-C(-c)=O,[c:3]-[C:7](-[Cl:20])=[O:12].[c:13]-[N:16]-[#1:2016]>>[c:3]-[C:7](=[O:12])-[N:16]-[c:13]
[H]-N(-[H])-c>>c-N=N=N,[c:29]-[N:30](-[#1:1030])-[#1:2030]>>[c:29]-[N:30]=[N&+:31]=[N&-:32]
[H]-C(-C(-C)=O)-C(-[H])-C(-C)=O.[H]-N(-[H])-c>>C-c1:c:c:c(-C):n:1-c,[C:2](-[#1:2002])(-[C:1](=[O:19])-[C:3])-[C:4](-[#1:2004])-[C:5](=[O:20])-[C:6].[c:16]-[N:18](-[#1:1018])-[#1:2018]>>[c:2]1:[c:1](-[C:3]):[n:18](-[c:16]):[c:5](-[C:6]):[c:4]:1
C-C=O>>[H]-O-C(-[H])-C,[C:10]-[C:18]=[O:22]>>[C:10]-[C:18](-[#1:2018])-[O:22]-[#1:1022]
c-S-C>>c-S(-C)=O,[c:25]-[S:26]-[C:27]>>[c:25]-[S:26](=[O:28])-[C:27]
C-C-Br.[H]-N(-C)-C>>C-C-N(-C)-C,[C:19]-[C:20]-[Br:21].[C:2]-[N:5](-[#1:1005])-[C:7]>>[C:2]-[N:5](-[C:20]-[C:19])-[C:7]
[H]-N-C.c-S(=O)(=O)-Cl>>C-N-S(-c)(=O)=O,[C:15]-[N:19]-[#1:2019].[c:2]-[S:1](-[Cl:29])(=[O:3])=[O:4]>>[c:2]-[S:1](=[O:3])(=[O:4])-[N:19]-[C:15]
[H]-n(:c):c.c-S(=O)(=O)-Cl>>c:n(:c)-S(-c)(=O)=O,[c:15]-[S:14](-[Cl:24])(=[O:16])=[O:17].[c:5]:[n:7](-[#1:1007]):[c:3]>>[c:5]:[n:7](-[S:14](-[c:15])(=[O:16])=[O:17]):[c:3]
